month,asset_id,production_mwh,realized_price_eur_mwh,revenue_eur,direct_opex_eur,allocated_overhead_eur,ebitda_eur,capex_eur,utilization_pct,downtime_hours,availability_pct
2025-01-01,A001,66420.0,92.0,6110640,1181360,150000,4779280,60000,0.496,6,0.9919
2025-01-01,A002,3060.8,85.0,260164,104794,42000,113369,8000,0.0549,2,0.9973
2025-01-01,A003,1714.0,85.0,145692,62485,30000,53207,8000,0.0549,2,0.9973
2025-01-01,A004,12220,41.55,507741,283544,65000,159197,175000,0.2737,6,0.9919
2025-01-01,A005,2485.0,118,293225,598917,95000,-400692,650000,0.167,12,0.9839
2025-02-01,A001,56343.6,88.0,4958237,1100749,150000,3707488,60000,0.4658,6,0.9911
2025-02-01,A002,3996.0,81.0,323676,107787,42000,173889,8000,0.0793,6,0.9911
2025-02-01,A003,2237.8,81.0,181259,64161,30000,87098,8000,0.0793,6,0.9911
2025-02-01,A004,12540,42.1,527934,285208,65000,177726,175000,0.311,6,0.9911
2025-02-01,A005,2473.0,118,291809,598053,95000,-401244,650000,0.184,12,0.9821
2025-03-01,A001,58449.6,82.0,4792867,1117597,150000,3525270,60000,0.4365,6,0.9919
2025-03-01,A002,6678.0,75.0,500850,116370,42000,342480,30000,0.1197,2,0.9973
2025-03-01,A003,3739.7,75.0,280476,68967,30000,181509,30000,0.1197,2,0.9973
2025-03-01,A004,11460,37.65,431469,279592,65000,86877,175000,0.2567,18,0.9758
2025-03-01,A005,2990.9,118,352924,635343,95000,-377420,1000000,0.201,12,0.9839
2025-04-01,A001,47880.0,76.0,3638880,1153040,150000,2335840,250000,0.3694,20,0.9722
2025-04-01,A002,8616.0,69.0,594504,122571,42000,429933,8000,0.1596,2,0.9972
2025-04-01,A003,4825.0,69.0,332922,72440,30000,230482,8000,0.1596,2,0.9972
2025-04-01,A004,11780,38.2,449996,281256,65000,103740,175000,0.2727,6,0.9917
2025-04-01,A005,3139.2,118,370426,646022,95000,-370597,1000000,0.218,12,0.9833
2025-05-01,A001,43837.2,71.0,3112441,1000698,150000,1961744,60000,0.3273,6,0.9919
2025-05-01,A002,11130.0,59.0,656670,130616,42000,484054,8000,0.1995,2,0.9973
2025-05-01,A003,6232.8,59.0,367735,76945,30000,260790,8000,0.1995,2,0.9973
2025-05-01,A004,12100,38.75,468875,282920,65000,120955,175000,0.2711,6,0.9919
2025-05-01,A005,3496.8,118,412622,671770,95000,-354147,1000000,0.235,35,0.953
2025-06-01,A001,38556.0,67.0,2583252,958448,150000,1474804,60000,0.2975,6,0.9917
2025-06-01,A002,12116.2,55.0,666394,133772,42000,490622,8000,0.2244,2,0.9972
2025-06-01,A003,6785.1,55.0,373180,78712,30000,264468,8000,0.2244,2,0.9972
2025-06-01,A004,12420,39.3,488106,284584,65000,138522,175000,0.2875,6,0.9917
2025-06-01,A005,3628.8,118,428198,681274,95000,-348075,650000,0.252,12,0.9833
2025-07-01,A001,38523.6,65.0,2504034,958189,150000,1395845,60000,0.2877,6,0.9919
2025-07-01,A002,12799.5,53.0,678374,135958,42000,500415,8000,0.2294,2,0.9973
2025-07-01,A003,7167.7,53.0,379889,79937,30000,269952,8000,0.2294,2,0.9973
2025-07-01,A004,12740,39.85,507689,286248,65000,156441,175000,0.2854,6,0.9919
2025-07-01,A005,4002.7,118,472321,708196,95000,-330875,650000,0.269,12,0.9839
2025-08-01,A001,41180.4,68.0,2800267,979443,150000,1670824,60000,0.3075,6,0.9919
