month,asset_id,variance_type,variance_driver,variance_eur,commentary
2025-01-01,A001,Price,Noordzee Wind A - Price,-604157,Actual realized price versus budgeted realized price.
2025-01-01,A001,Volume,Noordzee Wind A - Volume,-320804,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-01-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-01-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-01-01,A001,Opex,Noordzee Wind A - Opex,-66346,Direct operating cost variance; negative values are adverse.
2025-01-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5898,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-01-01,A002,Price,Flevoland Solar B - Price,3635,Actual realized price versus budgeted realized price.
2025-01-01,A002,Volume,Flevoland Solar B - Volume,8491,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-01-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-01-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-01-01,A002,Opex,Flevoland Solar B - Opex,-1636,Direct operating cost variance; negative values are adverse.
2025-01-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1041,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-01-01,A003,Price,Brabant Solar C - Price,-3691,Actual realized price versus budgeted realized price.
2025-01-01,A003,Volume,Brabant Solar C - Volume,-3732,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-01-01,A003,Downtime,Brabant Solar C - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-01-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-01-01,A003,Opex,Brabant Solar C - Opex,-1941,Direct operating cost variance; negative values are adverse.
2025-01-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-759,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-01-01,A004,Price,Rotterdam Battery D - Price,2316,Actual realized price versus budgeted realized price.
2025-01-01,A004,Volume,Rotterdam Battery D - Volume,-21083,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-01-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-01-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-49194,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-01-01,A004,Opex,Rotterdam Battery D - Opex,-28354,Direct operating cost variance; negative values are adverse.
2025-01-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2630,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-01-01,A005,Price,Groningen Hydrogen Pilot E - Price,-781,Actual realized price versus budgeted realized price.
2025-01-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-34834,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-01-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-01-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-81278,Hydrogen pilot ramp-up behind budgeted production curve.
2025-01-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-155827,Direct operating cost variance; negative values are adverse.
2025-01-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5689,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-02-01,A001,Price,Noordzee Wind A - Price,-504313,Actual realized price versus budgeted realized price.
2025-02-01,A001,Volume,Noordzee Wind A - Volume,73454,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-02-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-02-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-02-01,A001,Opex,Noordzee Wind A - Opex,-58091,Direct operating cost variance; negative values are adverse.
2025-02-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5744,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-02-01,A002,Price,Flevoland Solar B - Price,-5401,Actual realized price versus budgeted realized price.
2025-02-01,A002,Volume,Flevoland Solar B - Volume,-8003,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-02-01,A002,Downtime,Flevoland Solar B - Downtime,-963,Estimated EBITDA impact from unplanned downtime above budget.
2025-02-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-02-01,A002,Opex,Flevoland Solar B - Opex,-2562,Direct operating cost variance; negative values are adverse.
2025-02-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1066,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-02-01,A003,Price,Brabant Solar C - Price,723,Actual realized price versus budgeted realized price.
2025-02-01,A003,Volume,Brabant Solar C - Volume,8251,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-02-01,A003,Downtime,Brabant Solar C - Downtime,-539,Estimated EBITDA impact from unplanned downtime above budget.
2025-02-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-02-01,A003,Opex,Brabant Solar C - Opex,-1866,Direct operating cost variance; negative values are adverse.
2025-02-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-753,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-02-01,A004,Price,Rotterdam Battery D - Price,-6312,Actual realized price versus budgeted realized price.
2025-02-01,A004,Volume,Rotterdam Battery D - Volume,-25523,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-02-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-02-01,A004,Ramp-up,Rotterdam Battery D - Ramp-up,-59553,Battery storage throughput reflects operational ramp-up and dispatch optimization.
2025-02-01,A004,Opex,Rotterdam Battery D - Opex,-73521,Direct operating cost variance; negative values are adverse.
2025-02-01,A004,Timing/Mix,Rotterdam Battery D - Timing/Mix,-2557,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-02-01,A005,Price,Groningen Hydrogen Pilot E - Price,-62,Actual realized price versus budgeted realized price.
2025-02-01,A005,Volume,Groningen Hydrogen Pilot E - Volume,-32536,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-02-01,A005,Downtime,Groningen Hydrogen Pilot E - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-02-01,A005,Ramp-up,Groningen Hydrogen Pilot E - Ramp-up,-75918,Hydrogen pilot ramp-up behind budgeted production curve.
2025-02-01,A005,Opex,Groningen Hydrogen Pilot E - Opex,-155689,Direct operating cost variance; negative values are adverse.
2025-02-01,A005,Timing/Mix,Groningen Hydrogen Pilot E - Timing/Mix,-5689,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-03-01,A001,Price,Noordzee Wind A - Price,-289804,Actual realized price versus budgeted realized price.
2025-03-01,A001,Volume,Noordzee Wind A - Volume,106912,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-03-01,A001,Downtime,Noordzee Wind A - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-03-01,A001,Ramp-up,Noordzee Wind A - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-03-01,A001,Opex,Noordzee Wind A - Opex,-98087,Direct operating cost variance; negative values are adverse.
2025-03-01,A001,Timing/Mix,Noordzee Wind A - Timing/Mix,-5729,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-03-01,A002,Price,Flevoland Solar B - Price,-6430,Actual realized price versus budgeted realized price.
2025-03-01,A002,Volume,Flevoland Solar B - Volume,1508,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-03-01,A002,Downtime,Flevoland Solar B - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
2025-03-01,A002,Ramp-up,Flevoland Solar B - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-03-01,A002,Opex,Flevoland Solar B - Opex,-4424,Direct operating cost variance; negative values are adverse.
2025-03-01,A002,Timing/Mix,Flevoland Solar B - Timing/Mix,-1046,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-03-01,A003,Price,Brabant Solar C - Price,-6619,Actual realized price versus budgeted realized price.
2025-03-01,A003,Volume,Brabant Solar C - Volume,-3934,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-03-01,A003,Downtime,Brabant Solar C - Downtime,-754,Estimated EBITDA impact from unplanned downtime above budget.
2025-03-01,A003,Ramp-up,Brabant Solar C - Ramp-up,0,Battery/hydrogen ramp-up performance versus plan.
2025-03-01,A003,Opex,Brabant Solar C - Opex,-2834,Direct operating cost variance; negative values are adverse.
2025-03-01,A003,Timing/Mix,Brabant Solar C - Timing/Mix,-744,"Residual impact from overhead, capex timing context, rounding, and portfolio mix."
2025-03-01,A004,Price,Rotterdam Battery D - Price,-27587,Actual realized price versus budgeted realized price.
2025-03-01,A004,Volume,Rotterdam Battery D - Volume,-15722,Production or throughput variance not separately attributed to downtime or ramp-up.
2025-03-01,A004,Downtime,Rotterdam Battery D - Downtime,0,Estimated EBITDA impact from unplanned downtime above budget.
