month,asset_id,production_mwh,realized_price_eur_mwh,revenue_eur,direct_opex_eur,allocated_overhead_eur,ebitda_eur,capex_eur,utilization_pct,downtime_hours,availability_pct
2025-01-01,A001,62933.0,82.4,5185781,1247706,156000,3782075,61200,0.4699,6,0.9919
2025-01-01,A002,3160.7,86.15,272299,106430,43050,122818,8035,0.0566,2,0.9973
2025-01-01,A003,1670.1,82.79,138261,64426,30750,43085,8258,0.0534,2,0.9973
2025-01-01,A004,10528.6,41.77,439751,311898,67600,60252,185500,0.2359,18,0.9758
2025-01-01,A005,1501.0,117.48,176343,754744,100700,-679101,676000,0.1009,24,0.9677
2025-02-01,A001,57178.3,79.18,4527633,1158840,156000,3212794,61200,0.4727,6,0.9911
2025-02-01,A002,3885.3,79.61,309293,110349,43050,155894,7910,0.0771,8,0.9881
2025-02-01,A003,2333.0,81.31,189690,66027,30750,92913,8917,0.0827,8,0.9881
2025-02-01,A004,10519.2,41.5,436589,358729,67600,10261,185500,0.2609,14,0.9792
2025-02-01,A005,1553.9,117.96,183303,753742,100700,-671138,676000,0.1156,24,0.9643
2025-03-01,A001,59753.4,77.15,4610246,1215684,156000,3238562,61200,0.4462,6,0.9919
2025-03-01,A002,6698.1,74.04,495931,120794,43050,332087,28576,0.12,2,0.9973
2025-03-01,A003,3677.2,73.2,269176,71801,30750,166625,31488,0.1177,4,0.9946
2025-03-01,A004,10068.1,34.91,351426,352551,67600,-68725,185500,0.2255,22,0.9704
2025-03-01,A005,1795.0,116.62,209323,796998,100700,-688375,850000,0.1206,30,0.9597
2025-04-01,A001,45128.4,70.5,3181379,1449132,156000,1576247,287500,0.3482,79,0.8903
2025-04-01,A002,9008.1,67.9,611655,124408,43050,444197,8821,0.1668,2,0.9972
2025-04-01,A003,4745.4,68.31,324145,75304,30750,218091,8389,0.1569,4,0.9944
2025-04-01,A004,9891.8,35.44,350561,354382,67600,-71421,185500,0.229,14,0.9806
2025-04-01,A005,2008.9,116.82,234681,809386,100700,-675405,850000,0.1395,42,0.9417
