month,asset_id,production_mwh,realized_price_eur_mwh,revenue_eur,direct_opex_eur,allocated_overhead_eur,ebitda_eur,capex_eur,utilization_pct,downtime_hours,availability_pct
2025-01-01,A001,64359.9,86.48,5565844,1258148,156000,4151696,64800,0.4806,18,0.9758
2025-01-01,A002,3102.5,84.15,261073,107938,43050,110085,8320,0.0556,3,0.996
2025-01-01,A003,1737.4,84.15,146201,64359,30750,51092,8320,0.0556,3,0.996
2025-01-01,A004,11389.0,42.38,482679,304810,67600,110269,189000,0.2551,11,0.9852
2025-01-01,A005,1814.0,118.0,214054,676776,100700,-563422,598000,0.1219,28,0.9624
2025-02-01,A001,54498.5,82.72,4508114,1172297,156000,3179816,64800,0.4505,18,0.9732
2025-02-01,A002,4049.8,80.19,324757,111021,43050,170687,8320,0.0804,7,0.9896
2025-02-01,A003,2267.9,80.19,181864,66086,30750,85029,8320,0.0804,7,0.9896
2025-02-01,A004,11837.8,42.94,508337,306599,67600,134138,189000,0.2936,11,0.9836
2025-02-01,A005,1805.3,118.0,213021,675800,100700,-563479,598000,0.1343,28,0.9583
2025-03-01,A001,56636.7,77.08,4365558,1190241,156000,3019317,64800,0.4229,18,0.9758
2025-03-01,A002,6769.0,74.25,502601,119861,43050,339690,31200,0.1213,3,0.996
2025-03-01,A003,3790.7,74.25,281456,71036,30750,179670,31200,0.1213,3,0.996
2025-03-01,A004,10955.8,38.4,420734,300561,67600,52573,189000,0.2454,23,0.9691
2025-03-01,A005,2183.3,118.0,257634,717938,100700,-561004,920000,0.1467,28,0.9624
2025-04-01,A001,46353.3,71.44,3311481,1227988,156000,1927493,270000,0.3577,32,0.9556
2025-04-01,A002,8733.1,68.31,596555,126248,43050,427257,8320,0.1617,3,0.9958
2025-04-01,A003,4890.5,68.31,334071,74613,30750,228708,8320,0.1617,3,0.9958
2025-04-01,A004,11403.0,38.96,444308,302350,67600,74358,189000,0.264,11,0.9847
2025-04-01,A005,2291.6,118.0,270411,730005,100700,-560295,920000,0.1591,28,0.9611
2025-05-01,A001,42477.5,66.74,2834951,1065743,156000,1613208,64800,0.3172,18,0.9758
2025-05-01,A002,11281.7,58.41,658966,134534,43050,481381,8320,0.2022,3,0.996
2025-05-01,A003,6317.8,58.41,369021,79253,30750,259017,8320,0.2022,3,0.996
2025-05-01,A004,11858.0,39.52,468687,304139,67600,96948,189000,0.2656,11,0.9852
2025-05-01,A005,2552.7,118.0,301214,759100,100700,-558585,920000,0.1716,51,0.9315
2025-06-01,A001,37339.4,62.98,2351634,1020747,156000,1174887,64800,0.2881,18,0.975
2025-06-01,A002,12280.9,54.45,668693,137785,43050,487858,8320,0.2274,3,0.9958
2025-06-01,A003,6877.3,54.45,374468,81074,30750,262644,8320,0.2274,3,0.9958
2025-06-01,A004,12320.6,40.09,493885,305928,67600,120357,189000,0.2852,11,0.9847
2025-06-01,A005,2649.0,118.0,312585,769839,100700,-557954,598000,0.184,28,0.9611
2025-07-01,A001,37328.7,61.1,2280786,1020471,156000,1104315,64800,0.2787,18,0.9758
2025-07-01,A002,12974.0,52.47,680745,140037,43050,497658,8320,0.2325,3,0.996
2025-07-01,A003,7265.4,52.47,381217,82335,30750,268132,8320,0.2325,3,0.996
2025-07-01,A004,12791.0,40.65,519914,307717,67600,144598,189000,0.2865,11,0.9852
2025-07-01,A005,2922.0,118.0,344794,800261,100700,-556167,598000,0.1964,28,0.9624
2025-08-01,A001,39903.1,63.92,2550609,1043107,156000,1351502,64800,0.298,18,0.9758
2025-08-01,A002,11563.8,55.44,641095,135452,43050,462594,8320,0.2072,3,0.996
2025-08-01,A003,6475.7,55.44,359013,79767,30750,248496,8320,0.2072,3,0.996
2025-08-01,A004,13269.0,41.21,546787,309505,67600,169682,189000,0.2972,11,0.9852
2025-08-01,A005,3106.6,118.0,366584,820842,100700,-554958,598000,0.2088,28,0.9624
2025-09-01,A001,44807.3,69.56,3116793,1086447,156000,1874346,64800,0.3457,18,0.975
2025-09-01,A002,8460.2,66.33,561162,125361,43050,392751,31200,0.1567,3,0.9958
2025-09-01,A003,4737.7,66.33,314251,74116,30750,209385,31200,0.1567,3,0.9958
2025-09-01,A004,13754.6,41.77,574518,311294,67600,195623,75600,0.3184,23,0.9681
2025-09-01,A005,3185.1,118.0,375846,829590,100700,-554444,598000,0.2212,28,0.9611
